pid	X	Y	pixelSpacingX	pixelSpacingY	sliceSpacing	scaleFactor
1082_a	192	256	1.40625	1.40625	10.0	0.5
739	192	256	1.40625	1.40625	10.0	1.0
752	192	256	1.40625	1.40625	10.0	0.5
1069	256	192	1.40625	1.40625	10.0	0.5
825	256	192	1.40625	1.40625	10.0	1.0
968	256	192	1.40625	1.40625	10.0	1.0
865	256	192	1.40625	1.40625	10.0	1.0
1034	218	256	1.484375	1.484375	9.0	1.0
873	230	256	1.5625	1.5625	10.02	1.0
714	256	192	1.40625	1.40625	10.0	1.0
1027	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
1007	256	192	1.03125	1.03125	10.0	0.7272727272727273
1011	192	256	1.40625	1.40625	10.0	1.0
821	256	192	1.40625	1.40625	10.0	1.0
942	256	256	1.40625	1.40625	10.0	1.0
843	192	256	1.40625	1.40625	10.0	0.5
1062	230	256	1.484375	1.484375	10.02	1.0
978	218	256	1.40625	1.40625	10.0	1.0
721_a	192	256	1.0546874552965237	1.0546874552965237	7.98	0.6153846153846154
1078	218	256	1.40625	1.40625	10.0	1.0
1060	192	256	1.40625	1.40625	10.0	1.0
1018	192	256	1.5625	1.5625	10.0	1.0
1117	218	256	1.5625	1.5625	10.0	1.0
715	192	256	1.40625	1.40625	10.0	1.0
763	192	256	1.40625	1.40625	10.0	1.0
701	192	256	1.40625	1.40625	10.0	1.0
772	192	256	1.78125	1.78125	10.0	0.42105263157894735
864	192	256	1.40625	1.40625	10.0	1.0
777	192	256	1.40625	1.40625	10.0	0.5
1070	192	256	1.40625	1.40625	10.0	0.5
750	256	192	1.40625	1.40625	10.02	1.0
889	192	256	1.5625	1.5625	10.0	1.0
896	256	192	1.5625	1.5625	10.0	1.0
988	256	192	1.40625	1.40625	10.0	1.0
1137	192	256	1.40625	1.40625	10.0	1.0
1118	256	192	1.40625	1.40625	10.0	1.0
1047	192	256	1.40625	1.40625	8.0	1.0
708	192	256	1.40625	1.40625	10.0	1.0
1013	256	192	1.40625	1.40625	10.0	0.5
961	192	256	1.40625	1.40625	10.0	1.0
1104	256	192	1.40625	1.40625	10.0	1.0
754	192	256	1.40625	1.40625	10.0	1.0
991	192	256	1.40625	1.40625	10.0	1.0
861	192	256	1.40625	1.40625	10.0	1.0
1051	218	256	1.40625	1.40625	10.0	1.0
1076	192	256	1.40625	1.40625	10.0	1.0
953	192	256	1.40625	1.40625	10.0	1.0
967	192	256	1.40625	1.40625	10.0	1.0
916	192	256	1.3085937649011674	1.3085937649011674	8.96	0.5714285714285714
867	256	192	1.40625	1.40625	10.0	1.0
1111_b	192	256	1.40625	1.40625	10.0	0.5
835	256	192	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
869	218	256	1.40625	1.40625	10.0	1.0
912	256	192	1.5625	1.5625	10.0	1.0
949	192	256	1.0546874552965237	1.0546874552965237	7.98	0.6153846153846154
885	256	192	1.40625	1.40625	10.0	1.0
955	218	256	1.40625	1.40625	10.02	1.0
1121	192	256	1.40625	1.40625	10.0	1.0
818	256	192	1.40625	1.40625	10.02	1.0
1074	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
1039	192	256	1.40625	1.40625	10.0	0.5
1135	192	256	1.40625	1.40625	10.0	0.5
1008	256	192	1.40625	1.40625	10.0	0.5
755	192	256	1.40625	1.40625	10.0	0.5
805	192	256	1.40625	1.40625	10.0	1.0
981	192	256	1.40625	1.40625	10.0	1.0
780	192	256	1.484375	1.484375	10.0	1.0
952	192	256	1.40625	1.40625	10.0	1.0
792	230	256	1.328125	1.328125	10.0	1.0
841	192	256	1.40625	1.40625	10.0	1.0
1057	192	256	1.296875	1.296875	10.0	0.5
898	177	256	1.0546875521540637	1.0546875521540637	6.0	0.6153846153846154
712	256	256	1.40625	1.40625	10.0	1.0
746	192	256	1.0546874552965237	1.0546874552965237	10.0	0.6153846153846154
938	192	256	1.5625	1.5625	10.0	1.0
822	192	256	1.40625	1.40625	10.0	1.0
1025	256	192	1.5625	1.5625	10.0	1.0
1050	256	192	1.5625	1.5625	10.0	1.0
826	256	192	1.5625	1.5625	10.0	1.0
993	192	256	1.40625	1.40625	10.02	1.0
771	256	192	1.40625	1.40625	10.0	1.0
1046	192	256	1.40625	1.40625	10.0	1.0
866	218	256	1.40625	1.40625	10.02	1.0
829	192	256	1.40625	1.40625	10.0	1.0
927	218	256	1.40625	1.40625	10.0	1.0
819	218	256	1.328125	1.328125	10.0	1.0
774	192	256	1.40625	1.40625	10.0	1.0
824	256	192	1.40625	1.40625	10.0	1.0
1003	192	256	1.40625	1.40625	10.0	1.0
919	192	256	1.78125	1.78125	10.0	0.42105263157894735
704	218	256	1.40625	1.40625	10.0	1.0
1037	218	256	1.40625	1.40625	10.02	1.0
743	192	256	1.40625	1.40625	10.0	1.0
1017	230	256	1.2890625	1.2890625	10.02	1.0
797	192	256	1.40625	1.40625	10.0	1.0
876	192	256	1.40625	1.40625	10.0	1.0
1001	256	192	1.40625	1.40625	10.0	1.0
764	192	256	1.40625	1.40625	10.0	0.5
894	256	208	1.296875	1.296875	10.0	0.5
1139	192	256	1.40625	1.40625	10.0	1.0
1002	192	256	1.40625	1.40625	10.0	1.0
1049	192	256	1.40625	1.40625	10.0	1.0
932	192	256	1.40625	1.40625	10.0	1.0
910	256	192	1.40625	1.40625	10.02	1.0
810	256	218	1.40625	1.40625	10.02	1.0
1101	192	256	1.296875	1.296875	10.0	0.5
815	256	192	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
1113	192	256	1.40625	1.40625	10.0	1.0
837	192	256	1.40625	1.40625	10.0	1.0
935	192	256	1.40625	1.40625	10.0	1.0
997	192	256	1.296875	1.296875	10.0	0.5
1035	256	192	1.40625	1.40625	10.0	1.0
706	192	256	1.40625	1.40625	10.0	1.0
718	192	256	1.5625	1.5625	10.0	1.0
838	218	256	1.40625	1.40625	10.0	1.0
729	218	256	1.40625	1.40625	10.02	1.0
852	192	256	1.40625	1.40625	10.0	1.0
1042	192	256	1.640625	1.640625	10.0	1.0
976	192	256	0.812499970197675	0.812499970197675	6.0	0.8
874	256	256	1.484375	1.484375	10.0	1.0
1136	192	256	1.296875	1.296875	10.0	0.5
868	192	256	1.40625	1.40625	10.02	1.0
945	192	256	1.40625	1.40625	10.0	1.0
887	192	256	1.40625	1.40625	10.0	1.0
1097	256	192	1.40625	1.40625	10.0	1.0
902	192	256	1.40625	1.40625	10.0	0.5
1080	256	192	1.40625	1.40625	10.0	1.0
969	256	166	1.40625	1.40625	9.6	1.0
757	192	256	1.03125	1.03125	7.98	0.6666666666666666
925	256	192	1.40625	1.40625	10.0	0.5
1115	256	192	1.40625	1.40625	10.0	1.0
802	192	256	1.40625	1.40625	10.0	1.0
928	256	192	1.40625	1.40625	10.0	1.0
871	192	256	1.40625	1.40625	10.02	1.0
834	192	256	1.40625	1.40625	10.0	0.5
812	192	256	1.5625	1.5625	10.0	1.0
1044	192	256	1.5625	1.5625	10.0	1.0
798	192	256	1.40625	1.40625	10.0	1.0
1032	192	256	1.40625	1.40625	10.0	1.0
937	192	256	1.40625	1.40625	10.0	1.0
1119	230	256	1.40625	1.40625	10.0	1.0
814	192	256	1.40625	1.40625	8.0	1.0
1016	256	192	1.40625	1.40625	10.0	1.0
911	192	256	1.40625	1.40625	10.0	1.0
972	256	192	1.40625	1.40625	10.0	1.0
883	192	256	1.40625	1.40625	10.0	1.0
803	192	256	1.40625	1.40625	10.02	1.0
1064	192	256	1.40625	1.40625	9.6	1.0
977	218	256	1.40625	1.40625	10.0	1.0
990	218	256	1.640625	1.640625	10.02	1.0
1125	192	256	1.40625	1.40625	10.0	1.0
787	192	256	1.5625	1.5625	10.0	1.0
905	192	256	1.5625	1.5625	10.0	1.0
748	192	256	1.40625	1.40625	10.0	1.0
1019	256	192	1.40625	1.40625	10.02	1.0
1063	256	192	1.640625	1.640625	10.0	0.5
723	256	192	1.5625	1.5625	10.0	1.0
941	192	256	1.40625	1.40625	9.6	1.0
806	192	256	1.40625	1.40625	10.0	1.0
1022	256	192	1.40625	1.40625	10.0	1.0
890	192	256	1.7578125	1.7578125	10.0	1.0
707	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
903	192	256	1.5625	1.5625	10.0	1.0
971	192	256	1.78125	1.78125	10.0	0.42105263157894735
804	256	218	1.40625	1.40625	10.0	1.0
753	192	256	1.7890625149011725	1.7890625149011725	10.0	0.36363636363636365
1010	256	192	1.0546874552965237	1.0546874552965237	7.98	0.6153846153846154
726	192	256	1.40625	1.40625	10.0	0.5
1106	192	256	1.40625	1.40625	10.0	1.0
930	192	256	1.40625	1.40625	10.0	1.0
1124	192	256	1.40625	1.40625	10.0	1.0
820	230	256	1.484375	1.484375	10.02	1.0
832	192	256	0.8906249701976825	0.8906249701976825	6.0	0.7272727272727273
760	192	256	1.40625	1.40625	10.0	0.5
749	192	256	1.40625	1.40625	10.0	0.5
893	192	256	1.5625	1.5625	10.0	1.0
900	230	256	1.40625	1.40625	10.0	1.0
781	256	192	1.40625	1.40625	10.0	1.0
795	192	256	1.40625	1.40625	10.0	1.0
1120	192	256	1.40625	1.40625	10.0	1.0
970	192	256	1.40625	1.40625	8.8	1.0
1053	256	192	1.40625	1.40625	10.0	1.0
926	218	256	1.40625	1.40625	10.02	1.0
1087	256	192	1.40625	1.40625	10.0	0.5
717	256	218	1.40625	1.40625	10.02	1.0
727	176	256	1.40625	1.40625	10.0	0.5
1138	192	256	1.78125	1.78125	10.0	0.42105263157894735
800	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
1000	192	256	1.40625	1.40625	10.0	1.0
1102	256	192	1.40625	1.40625	10.02	1.0
735	192	256	1.40625	1.40625	10.0	1.0
901	192	256	1.5625	1.5625	10.0	1.0
785	192	256	1.7578125	1.7578125	10.0	1.0
1054	256	192	1.40625	1.40625	10.0	1.0
1108	192	256	1.40625	1.40625	10.0	1.0
738	192	256	1.40625	1.40625	10.0	1.0
1133	256	192	1.40625	1.40625	10.0	1.0
974	256	192	1.5625	1.5625	10.0	1.0
1067	256	192	1.40625	1.40625	10.0	1.0
904	230	256	1.484375	1.484375	10.02	1.0
823	192	256	1.40625	1.40625	10.0	0.5
702	192	256	1.03125	1.03125	7.98	0.7272727272727273
783	256	192	1.40625	1.40625	10.0	1.0
907	230	256	1.953125	1.953125	10.0	1.0
1091	256	192	1.40625	1.40625	10.02	1.0
989	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
914	192	256	1.40625	1.40625	10.0	0.5
725	256	192	1.5625	1.5625	10.0	1.0
1128	230	256	1.484375	1.484375	10.02	1.0
1006	192	256	1.5625	1.5625	10.0	1.0
899	192	256	1.40625	1.40625	10.0	1.0
882	218	256	1.40625	1.40625	10.0	1.0
1056	192	256	1.5625	1.5625	10.0	1.0
769	192	256	1.40625	1.40625	10.0	1.0
1021	192	256	1.328125	1.328125	10.0	1.0
872	192	256	0.84375	0.84375	5.0	0.8888888888888888
992	192	256	1.40625	1.40625	10.0	1.0
724	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
794	192	256	1.40625	1.40625	10.0	1.0
1107	204	256	1.484375	1.484375	10.0	1.0
960	192	256	0.84375	0.84375	6.0	0.8888888888888888
791	208	256	1.40625	1.40625	10.0	0.5
1068	192	256	1.40625	1.40625	10.0	0.5
1092	192	256	1.40625	1.40625	10.0	1.0
716	218	256	1.40625	1.40625	10.0	1.0
880	192	256	1.5625	1.5625	10.0	1.0
1084	192	256	1.40625	1.40625	10.0	1.0
828	256	192	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
1075	192	256	1.40625	1.40625	10.0	0.5
1043	256	192	1.40625	1.40625	10.0	1.0
879	218	256	1.40625	1.40625	10.02	1.0
1132	218	256	1.484375	1.484375	10.0	1.0
875	192	256	0.812499970197675	0.812499970197675	6.0	0.8
1082_b	192	256	1.40625	1.40625	10.0	0.5
782	192	256	1.40625	1.40625	10.0	1.0
897	256	192	1.5625	1.5625	10.0	1.0
996	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
1048	192	256	1.296875	1.296875	10.0	0.5
847	256	192	1.03125	1.03125	7.98	0.7272727272727273
921	192	256	1.40625	1.40625	10.0	1.0
944	256	256	1.484375	1.484375	10.0	1.0
766	192	256	1.40625	1.40625	10.0	1.0
741	192	256	1.5625	1.5625	10.0	1.0
767	192	256	1.40625	1.40625	10.0	1.0
1020	192	256	1.5625	1.5625	10.0	1.0
850	192	256	1.40625	1.40625	10.0	0.5
775	192	256	0.812499970197675	0.812499970197675	6.0	0.8
1094	256	192	1.0312500298023175	1.0312500298023175	6.0	0.5714285714285714
1085	192	256	1.40625	1.40625	10.0	1.0
790	192	256	1.40625	1.40625	10.0	1.0
851	256	192	1.40625	1.40625	10.0	1.0
975	192	256	1.296875	1.296875	10.0	0.5
1015	192	256	1.40625	1.40625	9.6	1.0
1052	256	192	1.5625	1.5625	10.0	1.0
756	256	256	1.5625	1.5625	10.0	1.0
995	192	256	1.5625	1.5625	10.0	1.0
1030	192	256	1.5625	1.5625	10.0	1.0
840	192	256	1.40625	1.40625	10.0	1.0
877	192	256	1.484375	1.484375	10.02	1.0
1055	256	192	1.5625	1.5625	10.0	1.0
1123	192	256	1.40625	1.40625	10.0	1.0
759	192	256	1.40625	1.40625	10.0	0.5
913	256	192	1.40625	1.40625	10.0	1.0
848	192	256	1.296875	1.296875	10.0	0.5
979	256	256	1.484375	1.484375	10.0	1.0
957	256	192	1.40625	1.40625	10.0	1.0
720	256	192	1.0546874552965237	1.0546874552965237	7.98	0.6153846153846154
1126	192	256	1.0546874552965237	1.0546874552965237	7.98	0.6153846153846154
998	256	192	1.40625	1.40625	10.0	1.0
1122	192	256	1.5625	1.5625	10.0	1.0
808	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
908	192	256	1.5625	1.5625	10.0	1.0
773	192	256	1.5625	1.5625	10.0	1.0
1129	192	256	0.8906249701976825	0.8906249701976825	6.0	0.7272727272727273
918	192	256	1.484375	1.484375	10.0	0.5
984	192	256	1.40625	1.40625	10.0	1.0
1073	218	256	1.7578125	1.7578125	10.0	1.0
793_b	192	256	1.40625	1.40625	10.0	0.5
1114	192	256	1.5625	1.5625	10.0	1.0
943	192	256	1.40625	1.40625	10.0	1.0
703	256	192	1.40625	1.40625	10.0	1.0
917	192	256	1.5625	1.5625	10.0	1.0
947	192	256	1.406249955296515	1.406249955296515	10.0	0.5714285714285714
747	192	256	1.40625	1.40625	10.0	1.0
1045	192	256	1.40625	1.40625	10.0	1.0
765	256	192	1.40625	1.40625	10.0	1.0
788	256	192	1.5625	1.5625	10.0	1.0
950	192	256	1.40625	1.40625	10.0	1.0
1004	192	256	1.40625	1.40625	10.0	1.0
956	192	256	1.40625	1.40625	10.0	1.0
745	192	256	1.40625	1.40625	10.0	1.0
842	218	256	1.40625	1.40625	10.0	1.0
1116	192	256	1.484375	1.484375	10.0	1.0
1012	192	256	1.40625	1.40625	10.0	0.5
722	192	256	1.40625	1.40625	10.0	1.0
813	192	256	1.40625	1.40625	10.02	1.0
958	192	256	1.78125	1.78125	10.0	0.42105263157894735
1081	192	256	0.8906249701976825	0.8906249701976825	6.0	0.7272727272727273
1031	256	192	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
1111_a	192	256	1.40625	1.40625	10.0	0.5
705	256	192	1.40625	1.40625	10.0	1.0
940	192	256	1.5625	1.5625	10.0	1.0
855	192	256	1.40625	1.40625	10.0	1.0
1127	256	192	1.0859374776482535	1.0859374776482535	7.98	0.6153846153846154
817	192	256	1.40625	1.40625	10.0	1.0
1112	256	192	1.40625	1.40625	10.0	1.0
732	192	256	1.40625	1.40625	10.0	1.0
1029	192	256	1.296875	1.296875	10.0	0.5
831	192	256	0.8906249701976825	0.8906249701976825	6.0	0.7272727272727273
793_a	216	256	1.40625	1.40625	10.0	0.5
833	256	192	1.03125	1.03125	10.0	0.7272727272727273
857	256	192	1.875	1.875	10.0	1.0
999	192	256	1.5625	1.5625	10.0	1.0
762	192	256	1.484375	1.484375	9.6	1.0
948	256	192	1.40625	1.40625	10.02	1.0
915	192	256	1.40625	1.40625	10.02	1.0
734	192	256	1.40625	1.40625	10.0	1.0
1140	192	256	1.40625	1.40625	10.0	0.5
963	192	256	1.25	1.25	9.0	1.0
776	218	256	1.40625	1.40625	10.0	1.0
786	192	256	1.40625	1.40625	10.0	1.0
856	192	256	1.40625	1.40625	10.0	1.0
929	192	256	1.40625	1.40625	10.0	1.0
939	192	256	1.40625	1.40625	10.0	1.0
1095	256	256	1.71875	1.71875	10.02	1.0
779	192	256	1.5625	1.5625	10.0	1.0
728	218	256	1.40625	1.40625	10.02	1.0
770	192	256	1.40625	1.40625	10.0	1.0
909	256	192	1.40625	1.40625	10.0	1.0
1014	192	256	1.40625	1.40625	10.0	1.0
1028	192	256	1.40625	1.40625	10.0	1.0
1038	192	256	1.40625	1.40625	10.0	1.0
959	192	256	1.40625	1.40625	10.02	1.0
1071	192	256	1.40625	1.40625	10.0	1.0
844	192	256	1.7890625149011725	1.7890625149011725	10.0	0.36363636363636365
836	192	256	1.328125	1.328125	10.0	1.0
733	192	256	1.40625	1.40625	10.0	0.5
1079	192	256	1.40625	1.40625	8.0	1.0
994	192	256	1.296875	1.296875	10.0	0.5
924	192	256	1.296875	1.296875	10.0	0.5
922	256	192	1.5625	1.5625	10.0	1.0
778	218	256	1.40625	1.40625	10.0	1.0
966	192	256	1.40625	1.40625	10.0	1.0
1089	192	256	1.40625	1.40625	10.0	0.5
799	192	256	1.40625	1.40625	10.0	1.0
965	192	256	1.40625	1.40625	10.0	0.5
758	218	256	1.40625	1.40625	10.0	1.0
1109	218	256	1.40625	1.40625	10.02	1.0
1131	192	256	1.5625	1.5625	10.0	1.0
784	192	256	1.40625	1.40625	10.0	0.5
1066	192	256	1.40625	1.40625	10.0	1.0
849	256	192	1.7890625149011725	1.7890625149011725	10.0	0.36363636363636365
709	192	256	1.40625	1.40625	10.0	1.0
920	192	256	1.25	1.25	10.0	1.0
985	192	256	1.296875	1.296875	10.0	0.5
863	192	256	1.03125	1.03125	7.98	0.7272727272727273
807	192	256	1.40625	1.40625	10.02	1.0
1026	192	256	1.5625	1.5625	10.0	1.0
1099	192	256	1.40625	1.40625	10.0	1.0
895	192	256	1.5625	1.5625	10.0	1.0
906	256	192	1.40625	1.40625	10.0	1.0
1110	192	256	1.40625	1.40625	10.0	1.0
710	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
854	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
816	256	256	1.328125	1.328125	10.0	1.0
751	192	256	1.40625	1.40625	10.0	0.5
742	256	192	1.25	1.25	10.0	1.0
373	192	256	1.40625	1.40625	10.0	1.0
375	192	256	1.40625	1.40625	10.0	0.5
171	192	256	1.40625	1.40625	10.0	0.5
275	192	256	1.5625	1.5625	10.0	1.0
123_b	192	256	1.40625	1.40625	10.0	0.5
238	192	256	1.40625	1.40625	10.0	1.0
112	204	256	1.484375	1.484375	10.0	1.0
190	192	256	1.40625	1.40625	10.0	1.0
469	192	256	1.40625	1.40625	10.0	1.0
131	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
389	256	192	1.5625	1.5625	10.0	1.0
348	192	256	1.5625	1.5625	10.0	1.0
289	192	256	1.40625	1.40625	10.0	1.0
342	256	192	1.40625	1.40625	10.0	1.0
181	256	192	1.5625	1.5625	10.0	1.0
64	192	256	1.7890625149011725	1.7890625149011725	10.0	0.36363636363636365
430	192	256	1.5625	1.5625	10.0	1.0
287	192	256	1.40625	1.40625	10.02	1.0
271	256	192	1.484375	1.484375	10.0	1.0
94	192	256	1.40625	1.40625	10.0	1.0
423	192	256	1.40625	1.40625	10.0	1.0
152	256	192	1.40625	1.40625	10.0	1.0
310	192	256	1.40625	1.40625	10.0	1.0
336	192	256	1.40625	1.40625	10.0	0.5
293	256	192	1.40625	1.40625	10.0	0.5
319	192	256	1.40625	1.40625	10.0	1.0
162	192	256	1.40625	1.40625	10.0	0.5
98	192	256	1.40625	1.40625	10.0	0.5
388	256	192	1.40625	1.40625	10.0	0.5
369	192	256	1.78125	1.78125	10.0	0.42105263157894735
359	256	192	1.40625	1.40625	10.0	1.0
68	256	192	1.40625	1.40625	10.0	1.0
60	166	256	1.328125	1.328125	10.0	1.0
180	192	256	1.40625	1.40625	10.0	1.0
313	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
395	256	218	1.40625	1.40625	10.02	1.0
300	216	256	1.40625	1.40625	10.0	0.5
372	256	192	1.5625	1.5625	10.0	1.0
15	192	256	1.40625	1.40625	10.0	1.0
358	256	192	1.40625	1.40625	10.0	1.0
108	192	256	1.0546874552965237	1.0546874552965237	7.98	0.6153846153846154
214	192	256	1.40625	1.40625	10.0	1.0
20	256	192	1.40625	1.40625	10.0	1.0
331	192	256	1.40625	1.40625	10.0	1.0
73	192	256	1.5625	1.5625	10.0	1.0
104	192	256	1.40625	1.40625	10.0	1.0
86	192	256	1.40625	1.40625	10.0	1.0
437_b	218	256	1.5625	1.5625	10.0	1.0
6	192	256	1.40625	1.40625	10.0	1.0
183	218	256	1.40625	1.40625	10.02	1.0
377	208	256	1.40625	1.40625	10.0	0.5
100	192	256	1.66015625	1.66015625	10.0	1.0
54	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
427	192	256	1.0546874552965237	1.0546874552965237	6.0	0.6153846153846154
453	256	192	1.40625	1.40625	10.0	1.0
184	192	256	1.40625	1.40625	10.0	1.0
103	192	256	1.40625	1.40625	10.0	1.0
324	206	256	1.484375	1.484375	10.0	1.0
323	192	256	1.0546874552965237	1.0546874552965237	7.98	0.6153846153846154
255	192	256	1.40625	1.40625	10.0	1.0
488	192	256	1.40625	1.40625	10.0	1.0
28	192	256	1.640625	1.640625	10.0	1.0
370	192	256	1.328125	1.328125	10.0	1.0
474	192	256	1.40625	1.40625	10.0	1.0
46	256	192	1.40625	1.40625	10.0	1.0
186	192	256	1.40625	1.40625	10.02	1.0
120	256	192	1.3085937649011674	1.3085937649011674	7.98	0.5714285714285714
416	256	230	1.40625	1.40625	10.0	1.0
443	192	256	1.40625	1.40625	10.0	1.0
258	256	192	1.5625	1.5625	10.0	1.0
41	256	256	1.484375	1.484375	10.0	1.0
11	192	256	1.40625	1.40625	10.0	1.0
26	192	256	1.40625	1.40625	10.0	0.5
406	256	192	1.40625	1.40625	10.0	1.0
233	192	256	1.40625	1.40625	10.0	1.0
227	192	256	1.40625	1.40625	10.0	1.0
274	192	256	1.40625	1.40625	9.6	1.0
211	192	256	1.40625	1.40625	10.0	1.0
442	192	256	1.40625	1.40625	10.0	1.0
144	256	192	1.40625	1.40625	8.8	1.0
8	218	256	1.7578125	1.7578125	10.0	1.0
371	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
341	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
157	192	256	1.40625	1.40625	10.0	1.0
121	256	192	1.296875	1.296875	10.0	0.5
444	256	192	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
47	256	192	1.40625	1.40625	10.0	0.5
476	192	256	0.8906249701976825	0.8906249701976825	6.0	0.7272727272727273
242	192	256	1.40625	1.40625	10.0	1.0
32	192	256	1.40625	1.40625	10.0	0.5
435	192	256	1.40625	1.40625	10.0	1.0
105	192	256	1.03125	1.03125	6.0	0.7272727272727273
466	192	256	1.40625	1.40625	10.0	1.0
465	192	256	1.03125	1.03125	7.98	0.7272727272727273
142	192	256	1.5625	1.5625	10.0	1.0
316	256	192	1.40625	1.40625	10.0	1.0
355	192	256	1.40625	1.40625	10.0	1.0
53	192	256	1.40625	1.40625	10.0	1.0
