source	set	file	bg	lv	my
7T	masks	17_slice006_frame024-mask.png	233994	5017	2653
7T	masks	17_slice007_frame000-mask.png	233407	5637	2620
7T	masks	17_slice007_frame001-mask.png	233829	5617	2218
7T	masks	17_slice007_frame002-mask.png	233373	5646	2645
7T	masks	17_slice007_frame003-mask.png	234035	5290	2339
7T	masks	17_slice007_frame004-mask.png	234471	4829	2364
7T	masks	17_slice007_frame005-mask.png	234640	4175	2849
7T	masks	17_slice007_frame006-mask.png	235076	4019	2569
7T	masks	17_slice007_frame007-mask.png	235175	3311	3178
7T	masks	17_slice007_frame008-mask.png	235117	3067	3480
7T	masks	17_slice007_frame009-mask.png	235302	3315	3047
7T	masks	17_slice007_frame010-mask.png	235240	3489	2935
7T	masks	17_slice007_frame011-mask.png	234833	4039	2792
7T	masks	17_slice007_frame012-mask.png	234348	4455	2861
7T	masks	17_slice007_frame013-mask.png	234143	5014	2507
7T	masks	17_slice007_frame014-mask.png	233674	5278	2712
7T	masks	17_slice007_frame015-mask.png	233897	5395	2372
7T	masks	17_slice007_frame016-mask.png	233701	5434	2529
7T	masks	17_slice007_frame017-mask.png	233940	5387	2337
7T	masks	17_slice007_frame018-mask.png	233672	5528	2464
7T	masks	17_slice007_frame019-mask.png	233878	5365	2421
7T	masks	17_slice007_frame020-mask.png	233715	5475	2474
7T	masks	17_slice007_frame021-mask.png	233808	5503	2353
7T	masks	17_slice007_frame022-mask.png	233880	5468	2316
7T	masks	17_slice007_frame023-mask.png	233374	5822	2468
7T	masks	17_slice007_frame024-mask.png	233524	5924	2216
7T	masks	17_slice008_frame000-mask.png	232913	5878	2873
7T	masks	17_slice008_frame001-mask.png	232865	6016	2783
7T	masks	17_slice008_frame002-mask.png	233200	5628	2836
7T	masks	17_slice008_frame003-mask.png	233639	5073	2952
7T	masks	17_slice008_frame004-mask.png	234151	4550	2963
7T	masks	17_slice008_frame005-mask.png	234423	3970	3271
7T	masks	17_slice008_frame006-mask.png	235096	3559	3009
7T	masks	17_slice008_frame007-mask.png	235322	3241	3101
7T	masks	17_slice008_frame008-mask.png	235384	3273	3007
7T	masks	17_slice008_frame009-mask.png	235291	3355	3018
7T	masks	17_slice008_frame010-mask.png	235143	3516	3005
7T	masks	17_slice008_frame011-mask.png	234624	4210	2830
7T	masks	17_slice008_frame012-mask.png	233940	4746	2978
7T	masks	17_slice008_frame013-mask.png	233494	5387	2783
7T	masks	17_slice008_frame014-mask.png	233254	5600	2810
7T	masks	17_slice008_frame015-mask.png	233242	5572	2850
7T	masks	17_slice008_frame016-mask.png	233460	5474	2730
7T	masks	17_slice008_frame017-mask.png	233510	5592	2562
7T	masks	17_slice008_frame018-mask.png	233682	5667	2315
7T	masks	17_slice008_frame019-mask.png	233414	5569	2681
7T	masks	17_slice008_frame020-mask.png	233182	5714	2768
7T	masks	17_slice008_frame021-mask.png	233318	5590	2756
7T	masks	17_slice008_frame022-mask.png	233163	5883	2618
7T	masks	17_slice008_frame023-mask.png	233079	5981	2604
7T	masks	17_slice008_frame024-mask.png	232900	6073	2691
7T	masks	17_slice009_frame000-mask.png	233055	5939	2670
7T	masks	17_slice009_frame001-mask.png	232566	6211	2887
7T	masks	17_slice009_frame002-mask.png	233047	5768	2849
7T	masks	17_slice009_frame003-mask.png	233540	5210	2914
7T	masks	17_slice009_frame004-mask.png	234432	4477	2755
7T	masks	17_slice009_frame005-mask.png	234784	3953	2927
7T	masks	17_slice009_frame006-mask.png	235282	3378	3004
7T	masks	17_slice009_frame007-mask.png	235459	2905	3300
7T	masks	17_slice009_frame008-mask.png	235839	2686	3139
7T	masks	17_slice009_frame009-mask.png	235865	2946	2853
7T	masks	17_slice009_frame010-mask.png	235514	3165	2985
7T	masks	17_slice009_frame011-mask.png	235086	3535	3043
7T	masks	17_slice009_frame012-mask.png	233885	4817	2962
7T	masks	17_slice009_frame013-mask.png	233910	5388	2366
7T	masks	17_slice009_frame014-mask.png	233576	5365	2723
7T	masks	17_slice009_frame015-mask.png	233301	5602	2761
7T	masks	17_slice009_frame016-mask.png	233314	5504	2846
7T	masks	17_slice009_frame017-mask.png	233219	5857	2588
7T	masks	17_slice009_frame018-mask.png	233303	5788	2573
7T	masks	17_slice009_frame019-mask.png	233250	5553	2861
7T	masks	17_slice009_frame020-mask.png	233311	5539	2814
7T	masks	17_slice009_frame021-mask.png	233219	5714	2731
7T	masks	17_slice009_frame022-mask.png	233037	5744	2883
7T	masks	17_slice009_frame023-mask.png	232916	6027	2721
7T	masks	17_slice009_frame024-mask.png	232987	6184	2493
7T	masks	17_slice010_frame000-mask.png	233098	5810	2756
7T	masks	17_slice010_frame001-mask.png	233179	5870	2615
7T	masks	17_slice010_frame002-mask.png	233610	5537	2517
7T	masks	17_slice010_frame003-mask.png	234267	4835	2562
7T	masks	17_slice010_frame004-mask.png	234881	3698	3085
7T	masks	17_slice010_frame005-mask.png	235515	3466	2683
7T	masks	17_slice010_frame006-mask.png	235862	2808	2994
7T	masks	17_slice010_frame007-mask.png	235877	2833	2954
7T	masks	17_slice010_frame008-mask.png	235938	2670	3056
7T	masks	17_slice010_frame009-mask.png	236011	2951	2702
7T	masks	17_slice010_frame010-mask.png	236122	2917	2625
7T	masks	17_slice010_frame011-mask.png	235361	2986	3317
7T	masks	17_slice010_frame012-mask.png	234664	4386	2614
7T	masks	17_slice010_frame013-mask.png	234445	4617	2602
7T	masks	17_slice010_frame014-mask.png	234092	5020	2552
7T	masks	17_slice010_frame015-mask.png	233882	4916	2866
7T	masks	17_slice010_frame016-mask.png	233850	5432	2382
7T	masks	17_slice010_frame017-mask.png	233784	5452	2428
7T	masks	17_slice010_frame018-mask.png	233549	5485	2630
7T	masks	17_slice010_frame019-mask.png	233630	5453	2581
7T	masks	17_slice010_frame020-mask.png	233702	5150	2812
7T	masks	17_slice010_frame021-mask.png	233537	5683	2444
7T	masks	17_slice010_frame022-mask.png	233214	5878	2572
7T	masks	17_slice010_frame023-mask.png	233225	5858	2581
7T	masks	17_slice010_frame024-mask.png	233244	5770	2650
7T	masks	17_slice011_frame000-mask.png	233382	5457	2825
7T	masks	17_slice011_frame001-mask.png	233602	5334	2728
7T	masks	17_slice011_frame002-mask.png	233610	4985	3069
7T	masks	17_slice011_frame003-mask.png	234326	4076	3262
7T	masks	17_slice011_frame004-mask.png	235168	3610	2886
7T	masks	17_slice011_frame005-mask.png	235714	3146	2804
7T	masks	17_slice011_frame006-mask.png	236262	3077	2325
7T	masks	17_slice011_frame007-mask.png	236476	2681	2507
7T	masks	17_slice011_frame008-mask.png	236917	2546	2201
7T	masks	17_slice011_frame009-mask.png	237165	2235	2264
7T	masks	17_slice011_frame010-mask.png	236817	2282	2565
7T	masks	17_slice011_frame011-mask.png	236017	2836	2811
7T	masks	17_slice011_frame012-mask.png	235188	3366	3110
7T	masks	17_slice011_frame013-mask.png	234358	4023	3283
7T	masks	17_slice011_frame014-mask.png	234186	4856	2622
7T	masks	17_slice011_frame015-mask.png	233980	4981	2703
7T	masks	17_slice011_frame016-mask.png	233984	4986	2694
7T	masks	17_slice011_frame017-mask.png	233881	5065	2718
7T	masks	17_slice011_frame018-mask.png	233766	5077	2821
7T	masks	17_slice011_frame019-mask.png	233882	5156	2626
7T	masks	17_slice011_frame020-mask.png	234063	5217	2384
7T	masks	17_slice011_frame021-mask.png	233915	5088	2661
7T	masks	17_slice011_frame022-mask.png	233382	5363	2919
7T	masks	17_slice011_frame023-mask.png	233554	5430	2680
7T	masks	17_slice011_frame024-mask.png	233352	5648	2664
7T	masks	17_slice012_frame000-mask.png	233855	4745	3064
7T	masks	17_slice012_frame001-mask.png	233824	4678	3162
7T	masks	17_slice012_frame002-mask.png	234470	4547	2647
7T	masks	17_slice012_frame003-mask.png	235713	3649	2302
7T	masks	17_slice012_frame004-mask.png	236050	3198	2416
7T	masks	17_slice012_frame005-mask.png	236699	3138	1827
7T	masks	17_slice012_frame006-mask.png	236913	3226	1525
7T	masks	17_slice012_frame007-mask.png	237155	3255	1254
7T	masks	17_slice012_frame008-mask.png	237243	3203	1218
7T	masks	17_slice012_frame009-mask.png	236952	3165	1547
7T	masks	17_slice012_frame010-mask.png	237090	2942	1632
7T	masks	17_slice012_frame011-mask.png	236428	2925	2311
7T	masks	17_slice012_frame012-mask.png	235558	3473	2633
7T	masks	17_slice012_frame013-mask.png	235009	3971	2684
7T	masks	17_slice012_frame014-mask.png	234714	4172	2778
7T	masks	17_slice012_frame015-mask.png	234946	4233	2485
7T	masks	17_slice012_frame016-mask.png	234863	4200	2601
7T	masks	17_slice012_frame017-mask.png	234753	4459	2452
7T	masks	17_slice012_frame018-mask.png	234466	4508	2690
7T	masks	17_slice012_frame019-mask.png	234558	4519	2587
7T	masks	17_slice012_frame020-mask.png	234415	4589	2660
7T	masks	17_slice012_frame021-mask.png	234444	4410	2810
7T	masks	17_slice012_frame022-mask.png	234132	4593	2939
7T	masks	17_slice012_frame023-mask.png	233990	4616	3058
7T	masks	17_slice012_frame024-mask.png	233840	4764	3060
7T	masks	17_slice013_frame000-mask.png	235397	3927	2340
7T	masks	17_slice013_frame001-mask.png	235325	3704	2635
7T	masks	17_slice013_frame002-mask.png	235627	3370	2667
7T	masks	17_slice013_frame003-mask.png	241664	0	0
7T	masks	17_slice013_frame004-mask.png	241664	0	0
7T	masks	17_slice013_frame005-mask.png	241664	0	0
7T	masks	17_slice013_frame006-mask.png	241664	0	0
7T	masks	17_slice013_frame007-mask.png	241664	0	0
7T	masks	17_slice013_frame008-mask.png	241664	0	0
7T	masks	17_slice013_frame009-mask.png	241664	0	0
7T	masks	17_slice013_frame010-mask.png	241664	0	0
7T	masks	17_slice013_frame011-mask.png	241664	0	0
7T	masks	17_slice013_frame012-mask.png	241664	0	0
7T	masks	17_slice013_frame013-mask.png	236038	3090	2536
7T	masks	17_slice013_frame014-mask.png	236134	3602	1928
7T	masks	17_slice013_frame015-mask.png	235952	3580	2132
7T	masks	17_slice013_frame016-mask.png	235883	3747	2034
7T	masks	17_slice013_frame017-mask.png	235844	3681	2139
7T	masks	17_slice013_frame018-mask.png	235686	3793	2185
7T	masks	17_slice013_frame019-mask.png	235941	3753	1970
7T	masks	17_slice013_frame020-mask.png	235773	3650	2241
7T	masks	17_slice013_frame021-mask.png	235778	3738	2148
7T	masks	17_slice013_frame022-mask.png	235704	3707	2253
7T	masks	17_slice013_frame023-mask.png	235365	3825	2474
7T	masks	17_slice013_frame024-mask.png	235589	3927	2148
7T	masks	17_slice014_frame000-mask.png	236424	3466	1774
7T	masks	17_slice014_frame001-mask.png	241664	0	0
7T	masks	17_slice014_frame002-mask.png	241664	0	0
7T	masks	17_slice014_frame003-mask.png	241664	0	0
7T	masks	17_slice014_frame004-mask.png	241664	0	0
7T	masks	17_slice014_frame005-mask.png	241664	0	0
7T	masks	17_slice014_frame006-mask.png	241664	0	0
7T	masks	17_slice014_frame007-mask.png	241664	0	0
7T	masks	17_slice014_frame008-mask.png	241664	0	0
7T	masks	17_slice014_frame009-mask.png	241664	0	0
7T	masks	17_slice014_frame010-mask.png	241664	0	0
7T	masks	17_slice014_frame011-mask.png	241664	0	0
7T	masks	17_slice014_frame012-mask.png	241664	0	0
7T	masks	17_slice014_frame013-mask.png	241664	0	0
7T	masks	17_slice014_frame014-mask.png	241664	0	0
7T	masks	17_slice014_frame015-mask.png	241664	0	0
7T	masks	17_slice014_frame016-mask.png	241664	0	0
7T	masks	17_slice014_frame017-mask.png	241664	0	0
7T	masks	17_slice014_frame018-mask.png	241664	0	0
7T	masks	17_slice014_frame019-mask.png	241664	0	0
7T	masks	17_slice014_frame020-mask.png	241664	0	0
7T	masks	17_slice014_frame021-mask.png	241664	0	0
7T	masks	17_slice014_frame022-mask.png	241664	0	0
7T	masks	17_slice014_frame023-mask.png	236692	3463	1509
7T	masks	17_slice014_frame024-mask.png	236648	3458	1558
7T	masks	19_slice000_frame000-mask.png	241664	0	0
7T	masks	19_slice000_frame001-mask.png	241664	0	0
7T	masks	19_slice000_frame002-mask.png	241664	0	0
7T	masks	19_slice000_frame003-mask.png	241664	0	0
7T	masks	19_slice000_frame004-mask.png	241664	0	0
7T	masks	19_slice000_frame005-mask.png	241664	0	0
7T	masks	19_slice000_frame006-mask.png	241664	0	0
7T	masks	19_slice000_frame007-mask.png	241664	0	0
7T	masks	19_slice000_frame008-mask.png	241664	0	0
7T	masks	19_slice000_frame009-mask.png	241664	0	0
7T	masks	19_slice000_frame010-mask.png	241664	0	0
7T	masks	19_slice000_frame011-mask.png	241664	0	0
7T	masks	19_slice000_frame012-mask.png	241664	0	0
7T	masks	19_slice000_frame013-mask.png	241664	0	0
7T	masks	19_slice000_frame014-mask.png	241664	0	0
7T	masks	19_slice000_frame015-mask.png	241664	0	0
7T	masks	19_slice000_frame016-mask.png	241664	0	0
7T	masks	19_slice000_frame017-mask.png	241664	0	0
7T	masks	19_slice000_frame018-mask.png	241664	0	0
7T	masks	19_slice000_frame019-mask.png	241664	0	0
7T	masks	19_slice000_frame020-mask.png	241664	0	0
7T	masks	19_slice000_frame021-mask.png	241664	0	0
7T	masks	19_slice001_frame000-mask.png	239247	1251	1166
7T	masks	19_slice001_frame001-mask.png	239374	1085	1205
7T	masks	19_slice001_frame002-mask.png	239019	1131	1514
7T	masks	19_slice001_frame003-mask.png	239218	1018	1428
7T	masks	19_slice001_frame004-mask.png	239161	894	1609
7T	masks	19_slice001_frame005-mask.png	239322	535	1807
7T	masks	19_slice001_frame006-mask.png	239060	559	2045
7T	masks	19_slice001_frame007-mask.png	239248	488	1928
7T	masks	19_slice001_frame008-mask.png	239160	0	2504
7T	masks	19_slice001_frame009-mask.png	241664	0	0
7T	masks	19_slice001_frame010-mask.png	239018	1249	1397
7T	masks	19_slice001_frame011-mask.png	238888	1341	1435
7T	masks	19_slice001_frame012-mask.png	239106	1372	1186
7T	masks	19_slice001_frame013-mask.png	239278	1227	1159
7T	masks	19_slice001_frame014-mask.png	238748	1576	1340
7T	masks	19_slice001_frame015-mask.png	238936	1295	1433
7T	masks	19_slice001_frame016-mask.png	238832	1395	1437
7T	masks	19_slice001_frame017-mask.png	238790	1458	1416
7T	masks	19_slice001_frame018-mask.png	238314	1509	1841
7T	masks	19_slice001_frame019-mask.png	239193	1090	1381
7T	masks	19_slice001_frame020-mask.png	238754	1520	1390
7T	masks	19_slice001_frame021-mask.png	238742	1503	1419
7T	masks	19_slice002_frame000-mask.png	237853	2055	1756
7T	masks	19_slice002_frame001-mask.png	238170	1744	1750
7T	masks	19_slice002_frame002-mask.png	238262	1584	1818
7T	masks	19_slice002_frame003-mask.png	238430	1586	1648
7T	masks	19_slice002_frame004-mask.png	238498	1230	1936
7T	masks	19_slice002_frame005-mask.png	238555	978	2131
7T	masks	19_slice002_frame006-mask.png	238322	876	2466
7T	masks	19_slice002_frame007-mask.png	238512	738	2414
7T	masks	19_slice002_frame008-mask.png	238583	904	2177
7T	masks	19_slice002_frame009-mask.png	238325	1602	1737
7T	masks	19_slice002_frame010-mask.png	238507	1801	1356
7T	masks	19_slice002_frame011-mask.png	238053	1978	1633
7T	masks	19_slice002_frame012-mask.png	237867	1983	1814
7T	masks	19_slice002_frame013-mask.png	238043	1983	1638
7T	masks	19_slice002_frame014-mask.png	238133	1871	1660
7T	masks	19_slice002_frame015-mask.png	237965	1879	1820
7T	masks	19_slice002_frame016-mask.png	238132	2019	1513
7T	masks	19_slice002_frame017-mask.png	238114	1846	1704
7T	masks	19_slice002_frame018-mask.png	237969	1831	1864
7T	masks	19_slice002_frame019-mask.png	237937	1800	1927
7T	masks	19_slice002_frame020-mask.png	238067	1864	1733
7T	masks	19_slice002_frame021-mask.png	237914	2144	1606
7T	masks	19_slice003_frame000-mask.png	236954	2580	2130
7T	masks	19_slice003_frame001-mask.png	236971	2391	2302
7T	masks	19_slice003_frame002-mask.png	237096	2225	2343
7T	masks	19_slice003_frame003-mask.png	237472	1911	2281
7T	masks	19_slice003_frame004-mask.png	237687	1653	2324
7T	masks	19_slice003_frame005-mask.png	237686	1356	2622
7T	masks	19_slice003_frame006-mask.png	237871	1310	2483
7T	masks	19_slice003_frame007-mask.png	237619	1177	2868
7T	masks	19_slice003_frame008-mask.png	237699	1229	2736
7T	masks	19_slice003_frame009-mask.png	237858	2427	1379
7T	masks	19_slice003_frame010-mask.png	237552	2645	1467
7T	masks	19_slice003_frame011-mask.png	237253	2575	1836
7T	masks	19_slice003_frame012-mask.png	237308	2796	1560
7T	masks	19_slice003_frame013-mask.png	237283	2761	1620
7T	masks	19_slice003_frame014-mask.png	237152	2809	1703
7T	masks	19_slice003_frame015-mask.png	237271	2599	1794
7T	masks	19_slice003_frame016-mask.png	237317	2478	1869
7T	masks	19_slice003_frame017-mask.png	237152	2593	1919
7T	masks	19_slice003_frame018-mask.png	237088	2587	1989
7T	masks	19_slice003_frame019-mask.png	237115	2772	1777
7T	masks	19_slice003_frame020-mask.png	236975	2792	1897
7T	masks	19_slice003_frame021-mask.png	237128	2821	1715
7T	masks	19_slice004_frame000-mask.png	235928	3496	2240
7T	masks	19_slice004_frame001-mask.png	235560	3276	2828
7T	masks	19_slice004_frame002-mask.png	236219	2774	2671
7T	masks	19_slice004_frame003-mask.png	236484	2482	2698
7T	masks	19_slice004_frame004-mask.png	236812	2107	2745
7T	masks	19_slice004_frame005-mask.png	236639	1736	3289
7T	masks	19_slice004_frame006-mask.png	236552	1511	3601
