Id	es	ed
24	24	9
24	24	10
24	24	11
24	24	12
24	24	13
24	24	14
24	24	15
24	24	16
24	24	17
24	24	18
24	24	19
24	24	20
24	24	21
24	24	22
24	24	23
24	24	24
26	9	24
27	7	0
28	8	19
30	9	23
31	8	18
32	6	18
35	10	23
36	12	24
42	5	19
43	6	19
44	6	17
50	8	0
51	9	0
52	9	23
53	8	23
55	8	24
